janvier,As-sobh,Al-chourouq,Ad-dohr,Al-asr,Al-maghrib,Al-ichae
1,07:04,08:32,13:47,16:30,18:54,20:10
2,07:05,08:32,13:48,16:31,18:54,20:10
3,07:05,08:32,13:48,16:32,18:55,20:11
4,07:05,08:32,13:49,16:33,18:56,20:12
5,07:05,08:33,13:49,16:33,18:57,20:13
6,07:06,08:33,13:49,16:34,18:57,20:13
7,07:06,08:33,13:50,16:35,18:58,20:14
8,07:06,08:33,13:50,16:35,18:59,20:15
9,07:06,08:33,13:51,16:36,19:00,20:15
10,07:06,08:33,13:51,16:37,19:00,20:16
11,07:06,08:33,13:52,16:38,19:01,20:17
12,07:06,08:33,13:52,16:38,19:02,20:18
13,07:06,08:33,13:52,16:39,19:03,20:18
14,07:06,08:33,13:53,16:40,19:04,20:19
15,07:06,08:32,13:53,16:41,19:05,20:20
16,07:06,08:32,13:53,16:42,19:06,20:21
17,07:06,08:32,13:54,16:42,19:06,20:21
18,07:06,08:32,13:54,16:43,19:07,20:22
19,07:06,08:32,13:54,16:44,19:08,20:23
20,07:06,08:31,13:55,16:45,19:09,20:24
21,07:06,08:31,13:55,16:45,19:10,20:24
22,07:05,08:31,13:55,16:46,19:11,20:25
23,07:05,08:30,13:55,16:47,19:12,20:26
24,07:05,08:30,13:56,16:48,19:13,20:27
25,07:05,08:29,13:56,16:48,19:13,20:27
26,07:04,08:29,13:56,16:49,19:14,20:28
27,07:04,08:29,13:56,16:50,19:15,20:29
28,07:04,08:28,13:56,16:51,19:16,20:30
29,07:03,08:28,13:57,16:51,19:17,20:30
30,07:03,08:27,13:57,16:52,19:18,20:31
31,07:02,08:26,13:57,16:53,19:19,20:32
