janvier,As-sobh,Al-chourouq,Ad-dohr,Al-asr,Al-maghrib,Al-ichae
1,07:01,08:31,13:39,16:16,18:38,19:58
2,07:01,08:32,13:40,16:16,18:39,19:58
3,07:01,08:32,13:40,16:17,18:40,19:59
4,07:02,08:32,13:41,16:18,18:41,20:00
5,07:02,08:32,13:41,16:18,18:41,20:00
6,07:02,08:32,13:42,16:19,18:42,20:01
7,07:02,08:32,13:42,16:20,18:43,20:02
8,07:02,08:32,13:42,16:21,18:44,20:03
9,07:02,08:32,13:43,16:22,18:45,20:03
10,07:02,08:32,13:43,16:22,18:46,20:04
11,07:02,08:32,13:44,16:23,18:47,20:05
12,07:02,08:32,13:44,16:24,18:47,20:06
13,07:02,08:32,13:44,16:25,18:48,20:07
14,07:02,08:31,13:45,16:26,18:49,20:07
15,07:02,08:31,13:45,16:27,18:50,20:08
16,07:02,08:31,13:46,16:27,18:51,20:09
17,07:02,08:31,13:46,16:28,18:52,20:10
18,07:02,08:30,13:46,16:29,18:53,20:11
19,07:01,08:30,13:46,16:30,18:54,20:11
20,07:01,08:30,13:47,16:31,18:55,20:12
21,07:01,08:29,13:47,16:32,18:56,20:13
22,07:01,08:29,13:47,16:32,18:57,20:14
23,07:00,08:29,13:48,16:33,18:58,20:15
24,07:00,08:28,13:48,16:34,18:59,20:16
25,07:00,08:28,13:48,16:35,19:00,20:16
26,06:59,08:27,13:48,16:36,19:01,20:17
27,06:59,08:26,13:48,16:37,19:02,20:18
28,06:58,08:26,13:49,16:37,19:03,20:19
29,06:58,08:25,13:49,16:38,19:04,20:20
30,06:57,08:25,13:49,16:39,19:05,20:21
31,06:57,08:24,13:49,16:40,19:06,20:22
