janvier,As-sobh,Al-chourouq,Ad-dohr,Al-asr,Al-maghrib,Al-ichae
1,07:21,08:43,14:13,17:09,19:33,20:45
2,07:21,08:44,14:13,17:09,19:34,20:45
3,07:21,08:44,14:14,17:10,19:34,20:46
4,07:22,08:44,14:14,17:11,19:35,20:47
5,07:22,08:44,14:14,17:11,19:36,20:47
6,07:22,08:44,14:15,17:12,19:36,20:48
7,07:23,08:45,14:15,17:13,19:37,20:48
8,07:23,08:45,14:16,17:13,19:38,20:49
9,07:23,08:45,14:16,17:14,19:38,20:50
10,07:23,08:45,14:17,17:15,19:39,20:50
11,07:23,08:45,14:17,17:15,19:40,20:51
12,07:24,08:45,14:17,17:16,19:41,20:52
13,07:24,08:45,14:18,17:16,19:41,20:52
14,07:24,08:45,14:18,17:17,19:42,20:53
15,07:24,08:45,14:18,17:18,19:43,20:54
16,07:24,08:45,14:19,17:18,19:43,20:54
17,07:24,08:45,14:19,17:19,19:44,20:55
18,07:24,08:45,14:19,17:20,19:45,20:55
19,07:24,08:45,14:20,17:20,19:46,20:56
20,07:24,08:45,14:20,17:21,19:46,20:57
21,07:24,08:45,14:20,17:22,19:47,20:57
22,07:24,08:45,14:21,17:22,19:48,20:58
23,07:24,08:44,14:21,17:23,19:48,20:59
24,07:24,08:44,14:21,17:23,19:49,20:59
25,07:24,08:44,14:21,17:24,19:50,21:00
26,07:23,08:44,14:22,17:25,19:51,21:00
27,07:23,08:43,14:22,17:25,19:51,21:01
28,07:23,08:43,14:22,17:26,19:52,21:02
29,07:23,08:43,14:22,17:26,19:53,21:02
30,07:23,08:42,14:22,17:27,19:53,21:03
31,07:22,08:42,14:22,17:27,19:54,21:03
