janvier,As-sobh,Al-chourouq,Ad-dohr,Al-asr,Al-maghrib,Al-ichae
1,06:51,08:21,13:29,16:04,18:28,19:46
2,06:51,08:21,13:29,16:04,18:28,19:47
3,06:51,08:21,13:30,16:05,18:29,19:48
4,06:52,08:21,13:30,16:06,18:30,19:48
5,06:52,08:21,13:31,16:07,18:31,19:49
6,06:52,08:21,13:31,16:07,18:32,19:50
7,06:52,08:21,13:31,16:08,18:32,19:51
8,06:52,08:21,13:32,16:09,18:33,19:51
9,06:52,08:21,13:32,16:10,18:34,19:52
10,06:52,08:21,13:33,16:11,18:35,19:53
11,06:52,08:21,13:33,16:11,18:36,19:54
12,06:52,08:21,13:33,16:12,18:37,19:54
13,06:52,08:21,13:34,16:13,18:38,19:55
14,06:52,08:21,13:34,16:14,18:39,19:56
15,06:52,08:21,13:35,16:15,18:40,19:57
16,06:52,08:20,13:35,16:16,18:41,19:58
17,06:52,08:20,13:35,16:17,18:41,19:59
18,06:52,08:20,13:36,16:17,18:42,19:59
19,06:51,08:19,13:36,16:18,18:43,20:00
20,06:51,08:19,13:36,16:19,18:44,20:01
21,06:51,08:19,13:36,16:20,18:45,20:02
22,06:51,08:18,13:37,16:21,18:46,20:03
23,06:50,08:18,13:37,16:22,18:47,20:04
24,06:50,08:17,13:37,16:23,18:48,20:05
25,06:50,08:17,13:37,16:23,18:49,20:05
26,06:49,08:16,13:38,16:24,18:50,20:06
27,06:49,08:16,13:38,16:25,18:51,20:07
28,06:48,08:15,13:38,16:26,18:52,20:08
29,06:48,08:14,13:38,16:27,18:53,20:09
30,06:47,08:14,13:38,16:28,18:54,20:10
31,06:47,08:13,13:39,16:28,18:55,20:11
