janvier,As-sobh,Al-chourouq,Ad-dohr,Al-asr,Al-maghrib,Al-ichae
1,07:00,08:27,13:41,16:21,18:46,20:02
2,07:00,08:27,13:41,16:22,18:46,20:02
3,07:00,08:27,13:42,16:23,18:47,20:03
4,07:00,08:27,13:42,16:23,18:48,20:04
5,07:01,08:27,13:43,16:24,18:49,20:04
6,07:01,08:27,13:43,16:25,18:49,20:05
7,07:01,08:27,13:43,16:26,18:50,20:06
8,07:01,08:28,13:44,16:26,18:51,20:07
9,07:01,08:28,13:44,16:27,18:52,20:07
10,07:01,08:28,13:45,16:28,18:53,20:08
11,07:01,08:27,13:45,16:29,18:54,20:09
12,07:01,08:27,13:45,16:30,18:54,20:10
13,07:01,08:27,13:46,16:30,18:55,20:10
14,07:01,08:27,13:46,16:31,18:56,20:11
15,07:01,08:27,13:47,16:32,18:57,20:12
16,07:01,08:27,13:47,16:33,18:58,20:13
17,07:01,08:27,13:47,16:34,18:59,20:13
18,07:01,08:26,13:47,16:34,19:00,20:14
19,07:01,08:26,13:48,16:35,19:01,20:15
20,07:01,08:26,13:48,16:36,19:01,20:16
21,07:00,08:25,13:48,16:37,19:02,20:17
22,07:00,08:25,13:49,16:38,19:03,20:17
23,07:00,08:25,13:49,16:38,19:04,20:18
24,07:00,08:24,13:49,16:39,19:05,20:19
25,06:59,08:24,13:49,16:40,19:06,20:20
26,06:59,08:23,13:50,16:41,19:07,20:21
27,06:59,08:23,13:50,16:41,19:08,20:21
28,06:58,08:22,13:50,16:42,19:09,20:22
29,06:58,08:22,13:50,16:43,19:10,20:23
30,06:57,08:21,13:50,16:44,19:10,20:24
31,06:57,08:21,13:50,16:44,19:11,20:24
