janvier,As-sobh,Al-chourouq,Ad-dohr,Al-asr,Al-maghrib,Al-ichae
1,06:53,08:22,13:31,16:06,18:31,19:49
2,06:53,08:22,13:31,16:07,18:31,19:49
3,06:53,08:23,13:32,16:08,18:32,19:50
4,06:54,08:23,13:32,16:09,18:33,19:51
5,06:54,08:23,13:33,16:09,18:34,19:51
6,06:54,08:23,13:33,16:10,18:35,19:52
7,06:54,08:23,13:34,16:11,18:35,19:53
8,06:54,08:23,13:34,16:12,18:36,19:54
9,06:54,08:23,13:35,16:12,18:37,19:55
10,06:54,08:23,13:35,16:13,18:38,19:55
11,06:54,08:23,13:35,16:14,18:39,19:56
12,06:54,08:23,13:36,16:15,18:40,19:57
13,06:54,08:22,13:36,16:16,18:41,19:58
14,06:54,08:22,13:36,16:17,18:42,19:59
15,06:54,08:22,13:37,16:17,18:42,19:59
16,06:54,08:22,13:37,16:18,18:43,20:00
17,06:54,08:22,13:37,16:19,18:44,20:01
18,06:54,08:21,13:38,16:20,18:45,20:02
19,06:53,08:21,13:38,16:21,18:46,20:03
20,06:53,08:21,13:38,16:22,18:47,20:04
21,06:53,08:20,13:39,16:23,18:48,20:04
22,06:53,08:20,13:39,16:23,18:49,20:05
23,06:52,08:19,13:39,16:24,18:50,20:06
24,06:52,08:19,13:39,16:25,18:51,20:07
25,06:52,08:18,13:40,16:26,18:52,20:08
26,06:51,08:18,13:40,16:27,18:53,20:09
27,06:51,08:17,13:40,16:28,18:54,20:09
28,06:50,08:17,13:40,16:28,18:55,20:10
29,06:50,08:16,13:40,16:29,18:56,20:11
30,06:49,08:15,13:41,16:30,18:57,20:12
31,06:49,08:15,13:41,16:31,18:58,20:13
