janvier,As-sobh,Al-chourouq,Ad-dohr,Al-asr,Al-maghrib,Al-ichae
1,06:44,08:16,13:20,15:53,18:15,19:36
2,06:44,08:17,13:21,15:53,18:16,19:37
3,06:44,08:17,13:21,15:54,18:17,19:38
4,06:45,08:17,13:22,15:55,18:18,19:38
5,06:45,08:17,13:22,15:56,18:19,19:39
6,06:45,08:17,13:23,15:56,18:19,19:40
7,06:45,08:17,13:23,15:57,18:20,19:41
8,06:45,08:17,13:24,15:58,18:21,19:41
9,06:45,08:17,13:24,15:59,18:22,19:42
10,06:45,08:17,13:24,16:00,18:23,19:43
11,06:45,08:17,13:25,16:01,18:24,19:44
12,06:45,08:17,13:25,16:01,18:25,19:45
13,06:45,08:16,13:26,16:02,18:26,19:46
14,06:45,08:16,13:26,16:03,18:27,19:46
15,06:45,08:16,13:26,16:04,18:28,19:47
16,06:45,08:16,13:27,16:05,18:29,19:48
17,06:45,08:15,13:27,16:06,18:30,19:49
18,06:44,08:15,13:27,16:07,18:31,19:50
19,06:44,08:15,13:28,16:07,18:32,19:51
20,06:44,08:14,13:28,16:08,18:33,19:52
21,06:44,08:14,13:28,16:09,18:34,19:52
22,06:43,08:13,13:28,16:10,18:35,19:53
23,06:43,08:13,13:29,16:11,18:36,19:54
24,06:43,08:12,13:29,16:12,18:37,19:55
25,06:42,08:12,13:29,16:13,18:38,19:56
26,06:42,08:11,13:29,16:14,18:39,19:57
27,06:41,08:11,13:30,16:15,18:40,19:58
28,06:41,08:10,13:30,16:15,18:41,19:59
29,06:40,08:09,13:30,16:16,18:42,19:59
30,06:40,08:09,13:30,16:17,18:43,20:00
31,06:39,08:08,13:30,16:18,18:44,20:01
