janvier,As-sobh,Al-chourouq,Ad-dohr,Al-asr,Al-maghrib,Al-ichae
1,06:58,08:30,13:36,16:11,18:33,19:54
2,06:58,08:30,13:37,16:12,18:34,19:54
3,06:59,08:30,13:37,16:13,18:35,19:55
4,06:59,08:30,13:37,16:13,18:36,19:56
5,06:59,08:30,13:38,16:14,18:37,19:56
6,06:59,08:30,13:38,16:15,18:37,19:57
7,06:59,08:30,13:39,16:16,18:38,19:58
8,06:59,08:30,13:39,16:16,18:39,19:59
9,06:59,08:30,13:40,16:17,18:40,20:00
10,06:59,08:30,13:40,16:18,18:41,20:00
11,07:00,08:30,13:40,16:19,18:42,20:01
12,06:59,08:30,13:41,16:20,18:43,20:02
13,06:59,08:30,13:41,16:21,18:44,20:03
14,06:59,08:30,13:42,16:21,18:45,20:04
15,06:59,08:30,13:42,16:22,18:45,20:04
16,06:59,08:29,13:42,16:23,18:46,20:05
17,06:59,08:29,13:43,16:24,18:47,20:06
18,06:59,08:29,13:43,16:25,18:48,20:07
19,06:59,08:28,13:43,16:26,18:49,20:08
20,06:58,08:28,13:43,16:27,18:50,20:09
21,06:58,08:28,13:44,16:27,18:51,20:09
22,06:58,08:27,13:44,16:28,18:52,20:10
23,06:58,08:27,13:44,16:29,18:53,20:11
24,06:57,08:26,13:45,16:30,18:54,20:12
25,06:57,08:26,13:45,16:31,18:55,20:13
26,06:56,08:25,13:45,16:32,18:56,20:14
27,06:56,08:25,13:45,16:32,18:57,20:14
28,06:55,08:24,13:45,16:33,18:58,20:15
29,06:55,08:23,13:46,16:34,18:59,20:16
30,06:54,08:23,13:46,16:35,19:00,20:17
31,06:54,08:22,13:46,16:36,19:01,20:18
