janvier,As-sobh,Al-chourouq,Ad-dohr,Al-asr,Al-maghrib,Al-ichae
1,06:56,08:30,13:32,16:03,18:25,19:47
2,06:57,08:30,13:32,16:03,18:26,19:48
3,06:57,08:30,13:33,16:04,18:27,19:48
4,06:57,08:30,13:33,16:05,18:28,19:49
5,06:57,08:30,13:34,16:06,18:29,19:50
6,06:57,08:30,13:34,16:07,18:30,19:51
7,06:57,08:30,13:35,16:07,18:30,19:51
8,06:57,08:30,13:35,16:08,18:31,19:52
9,06:58,08:30,13:36,16:09,18:32,19:53
10,06:58,08:30,13:36,16:10,18:33,19:54
11,06:58,08:30,13:36,16:11,18:34,19:55
12,06:57,08:30,13:37,16:12,18:35,19:56
13,06:57,08:29,13:37,16:12,18:36,19:56
14,06:57,08:29,13:37,16:13,18:37,19:57
15,06:57,08:29,13:38,16:14,18:38,19:58
16,06:57,08:29,13:38,16:15,18:39,19:59
17,06:57,08:28,13:38,16:16,18:40,20:00
18,06:57,08:28,13:39,16:17,18:41,20:01
19,06:56,08:28,13:39,16:18,18:42,20:02
20,06:56,08:27,13:39,16:19,18:43,20:02
21,06:56,08:27,13:40,16:20,18:44,20:03
22,06:55,08:26,13:40,16:20,18:45,20:04
23,06:55,08:26,13:40,16:21,18:46,20:05
24,06:55,08:25,13:40,16:22,18:47,20:06
25,06:54,08:25,13:41,16:23,18:48,20:07
26,06:54,08:24,13:41,16:24,18:49,20:08
27,06:53,08:23,13:41,16:25,18:50,20:09
28,06:53,08:23,13:41,16:26,18:51,20:10
29,06:52,08:22,13:41,16:27,18:52,20:11
30,06:52,08:21,13:42,16:28,18:53,20:11
31,06:51,08:21,13:42,16:28,18:54,20:12
