janvier,As-sobh,Al-chourouq,Ad-dohr,Al-asr,Al-maghrib,Al-ichae
1,06:54,08:26,13:30,16:01,18:26,19:45
2,06:55,08:26,13:31,16:02,18:26,19:46
3,06:55,08:26,13:31,16:03,18:27,19:47
4,06:55,08:26,13:32,16:04,18:28,19:48
5,06:55,08:26,13:32,16:04,18:29,19:48
6,06:55,08:26,13:32,16:05,18:30,19:49
7,06:55,08:26,13:33,16:06,18:31,19:50
8,06:55,08:26,13:33,16:07,18:31,19:51
9,06:55,08:26,13:34,16:08,18:32,19:52
10,06:55,08:26,13:34,16:09,18:33,19:52
11,06:55,08:26,13:35,16:09,18:34,19:53
12,06:55,08:26,13:35,16:10,18:35,19:54
13,06:55,08:26,13:35,16:11,18:36,19:55
14,06:55,08:25,13:36,16:12,18:37,19:56
15,06:55,08:25,13:36,16:13,18:38,19:57
16,06:55,08:25,13:36,16:14,18:39,19:57
17,06:55,08:25,13:37,16:15,18:40,19:58
18,06:55,08:24,13:37,16:16,18:41,19:59
19,06:54,08:24,13:37,16:16,18:42,20:00
20,06:54,08:23,13:38,16:17,18:43,20:01
21,06:54,08:23,13:38,16:18,18:44,20:02
22,06:53,08:22,13:38,16:19,18:45,20:03
23,06:53,08:22,13:38,16:20,18:46,20:04
24,06:53,08:21,13:39,16:21,18:47,20:04
25,06:52,08:21,13:39,16:22,18:48,20:05
26,06:52,08:20,13:39,16:23,18:49,20:06
27,06:51,08:20,13:39,16:24,18:50,20:07
28,06:51,08:19,13:39,16:24,18:51,20:08
29,06:50,08:18,13:40,16:25,18:52,20:09
30,06:50,08:18,13:40,16:26,18:53,20:10
31,06:49,08:17,13:40,16:27,18:54,20:11
